CustomerID,TenureMonths,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,TechSupportTickets,DaysSinceLastLogin,DiscountUsed,Churn,FutureLTV_12M
CUST-1000,52,One Year,Bank Transfer,76.16,3663.83,1,34,0,1,100.09
CUST-1001,15,One Year,Bank Transfer,27.31,380.61,3,16,0,1,46.78
CUST-1002,61,Month-to-Month,Credit Card,96.46,5641.1,3,11,1,1,136.88
CUST-1003,21,Two Year,Bank Transfer,48.47,1062.93,2,35,1,1,71.28
CUST-1004,24,Two Year,Electronic Check,108.76,2648.44,3,23,1,1,212.86
CUST-1005,3,Month-to-Month,Bank Transfer,56.79,161.5,5,9,0,1,81.07
CUST-1006,22,Month-to-Month,Electronic Check,34.28,786.39,3,29,0,1,36.69
CUST-1007,53,Two Year,Electronic Check,89.59,4733.3,0,28,0,0,977.39
CUST-1008,2,One Year,Electronic Check,36.46,70.61,0,38,0,1,54.3
CUST-1009,30,Month-to-Month,Bank Transfer,95.37,2775.97,2,9,1,1,49.67
CUST-1010,38,Two Year,Bank Transfer,116.81,4268.38,3,38,1,0,1504.34
CUST-1011,2,Month-to-Month,Electronic Check,97.96,183.18,1,27,1,1,158.14
CUST-1012,64,Month-to-Month,Bank Transfer,22.24,1363.57,2,17,1,1,27.77
CUST-1013,60,Month-to-Month,Credit Card,79.99,4699.5,2,40,0,1,133.54
CUST-1014,21,One Year,Electronic Check,89.54,1841.24,3,16,0,1,105.33
CUST-1015,33,One Year,Electronic Check,102.55,3432.41,0,10,0,0,1162.71
CUST-1016,58,One Year,Bank Transfer,25.6,1416.23,1,0,0,0,265.33
CUST-1017,22,Month-to-Month,Electronic Check,68.01,1507.47,1,16,1,1,43.4
CUST-1018,49,Month-to-Month,Bank Transfer,73.54,3555.58,1,35,0,1,84.2
CUST-1019,59,Month-to-Month,Electronic Check,36.91,2274.11,0,35,1,1,48.45
CUST-1020,42,One Year,Mailed Check,52.24,2101.47,2,8,1,0,539.41
CUST-1021,60,Month-to-Month,Bank Transfer,64.02,3976.34,0,44,0,1,55.28
CUST-1022,15,Month-to-Month,Bank Transfer,103.32,1585.59,0,27,0,1,155.82
CUST-1023,62,Two Year,Credit Card,112.94,6971.82,2,32,0,0,1544.29
CUST-1024,62,Month-to-Month,Credit Card,82.84,5126.72,4,2,0,1,119.87
CUST-1025,47,Two Year,Bank Transfer,59.49,2551.93,0,7,1,0,760.15
CUST-1026,62,Month-to-Month,Bank Transfer,45.4,2934.52,3,5,0,1,74.52
CUST-1027,51,One Year,Electronic Check,118.21,5522.54,1,5,1,0,1504.22
CUST-1028,55,Month-to-Month,Mailed Check,118.3,6405.55,1,28,1,1,159.92
CUST-1029,64,Two Year,Electronic Check,112.5,6836.48,1,36,0,0,1188.34
CUST-1030,3,Month-to-Month,Credit Card,98.57,285.21,2,11,1,1,178.04
CUST-1031,51,Month-to-Month,Electronic Check,52.58,2658.86,0,8,1,1,95.6
CUST-1032,7,Month-to-Month,Mailed Check,101.7,737.76,3,40,1,1,103.29
CUST-1033,21,Month-to-Month,Electronic Check,60.88,1238.38,1,18,0,1,38.82
CUST-1034,39,Month-to-Month,Bank Transfer,52.68,2153.46,6,16,0,1,39.58
CUST-1035,18,Two Year,Credit Card,94.49,1681.98,2,43,0,0,1065.27
CUST-1036,4,Month-to-Month,Electronic Check,27.97,103.39,0,31,0,1,37.66
CUST-1037,60,One Year,Credit Card,24.86,1384.95,2,34,1,1,36.92
CUST-1038,14,One Year,Electronic Check,64.8,913.93,1,13,1,1,64.61
CUST-1039,9,One Year,Mailed Check,64.56,527.33,0,15,1,0,758.26
CUST-1040,53,Month-to-Month,Credit Card,109.56,5644.39,2,20,0,1,208.89
CUST-1041,2,Month-to-Month,Electronic Check,32.62,60.17,5,11,0,1,48.21
CUST-1042,60,One Year,Credit Card,32.33,1871.87,1,23,1,1,23.85
CUST-1043,71,Two Year,Electronic Check,34.75,2498.06,1,33,0,0,450.11
